levelNumber;level;unit;title;topic;writtenTask
1;Beginner;1;Greetings and introductions;Introducing yourself by email;Write an email to your teacher to introduce yourself. When you're finished, click 'Submit.' Write 20-40 words.
1;Beginner;2;Colours and numbers;Taking inventory in the office;"Complete the email to your boss. Use the information below to help you. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
Dear Ms Thomas, 

There are 13 computers and 16 keyboards in the office. Also, there are…"
1;Beginner;3;Where are you from?;Writing an online profile;Look at the online profile. Write your profile. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
1;Beginner;4;Family;Describing your family in an email;Read the email from a new pen-pal and reply to it with a similar one about your own family. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
1;Beginner;5;Jobs;Updating your online profile;Write your profile. Include your name, age, where you're from, where you live and what you do. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
1;Beginner;6;Describing people;Signing up for a dating website;You are looking at a dating website. Read the different profiles, then write your own. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
1;Beginner;7;Clothing and dress;Writing labels for a clothing store;What clothes do you like to wear? Write a description of your favorite clothes. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words. Example: I really like my blue shirt. I also like my…
1;Beginner;8;Food and drink;Making a dinner party menu;Write back to your friends and tell them what you plan to cook for them. Make sure everyone’s happy! Type into the input box. When you're finished, click 'Submit.' Write 20-40 words. Hi! This is the menu…
2;Beginner;1;Time and dates;Describing your favorite day;What's your favorite day of the week? What do you usually do on that day, and at what time? Write about your favorite day of the week below. Remember to include an introduction, middle and end to your writing. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
2;Beginner;2;Birthdays;Writing a birthday invitation;You decide you like the invitation so much you want to make one for your next birthday party. Write your own birthday invitation below. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
2;Beginner;3;Weather and seasons;Writing a weather guide for your city;You want to write a short weather and climate guide for visitors to your home town or the place where you live. Look at the examples of different cities then write a similar one of your own. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
2;Beginner;4;Going shopping;Buying clothes from a catalog;"You've selected the items available and now are at the online check out. Send a text message to your friend to see if they want you to buy the items for them. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
The online catalog has..."
2;Beginner;5;Around town;Making notes for a visitor;A friend who doesn't speak your language will come to stay at your house. They have never been to your house. They will arrive before you are back from vacation. Leave a note explaining what there is in your area and in your town. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
2;Beginner;6;Describing your house;Telling someone what you're doing;"You receive a text message from a friend who wants to come round to your house. The trouble is, you're busy. Reply to the text message by writing about what you're doing. Type into the input box. When you're finished, click 'Submit.' Write 20-40 words.
Hi Sue, 
Sorry, I'm busy. Right now I'm..."
